sim,variable,offset,eff,eff_low,eff_upp,rmse,deg,pmax,occ,set
1,Over-0.50,0.5,1997.0286368563977,2120.5307155303403,1850.8644375717083,0.01038049845389116,57,1.0,0.4021,ranges
1,Over-0.48,0.48,1945.7700163281406,2099.428982730828,1799.7540077986055,0.010948514926264693,57,1.0,0.4021,ranges
1,Over-0.46,0.46,1945.7700163281406,2070.23886559884,1810.586078765952,0.009675509809300088,57,1.0,0.4021,ranges
1,Over-0.44,0.44,1903.4263301671106,2033.3042811478053,1810.586078765952,0.01207058679795789,57,1.0,0.4021,ranges
1,Over-0.42,0.42,1869.4678040732863,1981.1145575543092,1750.054959636472,0.011124669155428188,57,1.0,0.4021,ranges
1,Over-0.40,0.4,1836.1151230684918,1993.0381723310418,1711.970408351601,0.014082938316888052,57,1.0,0.4021,ranges
1,Over-0.38,0.38,1817.8436543119299,1949.6658404686175,1698.3279235426635,0.01003885416209721,57,1.0,0.4021,ranges
1,Over-0.36,0.36,1788.9867411301645,1903.4263301671106,1674.7146499218313,0.009945810590637113,57,1.0,0.4021,ranges
1,Over-0.34,0.34,1771.1842542731067,1888.2581563087517,1644.8365084683148,0.009259625244881267,57,1.0,0.4021,ranges
1,Over-0.32,0.32,1746.5579981483102,1873.2108557905135,1625.2144758465404,0.010393017314837,57,1.0,0.4021,ranges
1,Over-0.30,0.3,1691.5475036876783,1806.9681639378584,1583.4993744418964,0.009480422213083886,57,1.0,0.4021,ranges
1,Over-0.28,0.28,1681.427596758387,1806.9681639378584,1577.1773971311643,0.009807435619219956,57,1.0,0.4021,ranges
1,Over-0.26,0.26,1658.0493025164508,1767.6450722082652,1555.248580610641,0.012345603040040657,57,1.0,0.4021,ranges
1,Over-0.24,0.24,1609.0417124151688,1732.6398890259582,1518.3633199306562,0.011993767129063025,57,1.0,0.4021,ranges
1,Over-0.22,0.22,1589.8466928443743,1684.7941540426173,1488.2947349035294,0.01096099734912985,57,1.0,0.4021,ranges
1,Over-0.20,0.2,1564.6090615008295,1664.6954477691381,1464.6691652060927,0.013027395373800417,57,1.0,0.4021,ranges
1,Over-0.18,0.18,1542.854993062865,1641.549794589551,1441.4186338195739,0.012180305366400574,57,1.0,0.4021,ranges
1,Over-0.16,0.16,1506.2636665572347,1615.4914150398833,1415.7026649307797,0.010678534364115089,57,1.0,0.4021,ranges
1,Over-0.14,0.14,1506.2636665572347,1609.0417124151688,1401.6147862973141,0.008388888348631428,57,1.0,0.4021,ranges
1,Over-0.12,0.12,1458.8216067039468,1567.741724508815,1371.1129612452237,0.011638818151328566,57,1.0,0.4021,ranges
1,Over-0.10,0.1,1418.5371872903045,1521.403389633729,1343.9604173739258,0.011132821437490758,57,1.0,0.4021,ranges
1,Over-0.08,0.08,1401.6147862973141,1488.2947349035294,1301.6303446402183,0.01161995443689967,57,1.0,0.4021,ranges
1,Over-0.06,0.06,1379.3651961818352,1464.6691652060927,1296.4337038087856,0.009966560033013433,57,1.0,0.4021,ranges
1,Over-0.04,0.04,1362.910096396854,1455.90658797916,1280.9679330181082,0.010517003591002909,57,1.0,0.4021,ranges
1,Over-0.02,0.02,1319.983174767192,1404.4211018815158,1248.0887604435989,0.010961194707163748,57,1.0,0.4021,ranges
1,True-0.00,0.0,1291.2578100934884,1393.2294402416278,1220.9279560680316,0.010268721391139731,57,1.0,0.4021,ranges
1,Under-0.02,-0.02,1306.847815750792,1390.4454878463782,1228.2762815663157,0.011771334525611606,57,1.0,0.4021,ranges
